issue,quotation_bucket,championship_id,score,matches,forecasts,score_forecasts,player_weighted_share,match_weighted_share,ci95_low,ci95_high
home,40-60,9,1-0,11,830,156,0.18795180722891566,0.1913467560063343,0.12034565002807904,0.2623478619845896
home,40-60,1,2-1,42,3515,569,0.16187766714082505,0.16763993663261664,0.14503927759665056,0.19024059566858273
home,40-60,6,3-1,35,2955,467,0.1580372250423012,0.15528959246808938,0.13155106311955106,0.1790281218166277
home,40-60,6,3-0,35,2955,396,0.13401015228426397,0.12617563903722592,0.09917625016224482,0.15317502791220702
home,40-60,6,1-0,35,2955,308,0.10423011844331641,0.10958871910189984,0.08170217171707281,0.13747526648672687
home,40-60,1,3-0,42,3515,406,0.1155049786628734,0.10935934705151006,0.08726314583336073,0.13145554826965938
home,40-60,1,3-1,42,3515,386,0.10981507823613086,0.1079283882330946,0.0947842260504835,0.1210725504157057
home,40-60,9,3-0,11,830,91,0.10963855421686747,0.10649012699522677,0.06696948602969863,0.1460107679607549
home,40-60,9,3-1,11,830,65,0.0783132530120482,0.0731296721310224,0.04619837443240192,0.10006096982964287
home,40-60,6,3-2,35,2955,81,0.027411167512690356,0.02756570330025799,0.017966311344568348,0.03716509525594763
home,40-60,6,4-1,35,2955,85,0.028764805414551606,0.027348383248824402,0.01773369497668267,0.03696307152096613
home,40-60,6,4-0,35,2955,79,0.02673434856175973,0.025454319518889903,0.01484269087502022,0.036065948162759584
home,40-60,1,4-0,42,3515,54,0.015362731152204837,0.0145600486216418,0.0088434144569531,0.020276682786330498
home,40-60,9,4-0,11,830,13,0.01566265060240964,0.014050527645674786,0.0024839940514628164,0.025617061239886756
home,40-60,1,3-2,42,3515,45,0.012802275960170697,0.013416857265297883,0.0074673281325328515,0.019366386398062915
home,40-60,9,4-1,11,830,11,0.01325301204819277,0.011158973281036898,0.0,0.024461502752791783
home,40-60,9,3-2,11,830,9,0.010843373493975903,0.010662388686776044,0.002078884424335745,0.019245892949216345
home,40-60,1,4-1,42,3515,33,0.009388335704125178,0.008820560767359644,0.0052403521385889894,0.0124007693961303
home,40-60,6,4-2,35,2955,24,0.008121827411167513,0.008324672843064583,0.005011727537318962,0.011637618148810206
home,40-60,6,5-0,35,2955,27,0.009137055837563452,0.00813740347776813,0.0027877001087279396,0.01348710684680832
home,40-60,6,5-1,35,2955,16,0.0054145516074450084,0.0051894781576120146,0.001915239203923494,0.008463717111300536
home,40-60,1,5-1,42,3515,17,0.0048364153627311526,0.004525607245603577,0.002171682519541358,0.006879531971665795
home,40-60,1,4-2,42,3515,9,0.0025604551920341396,0.002549080239466851,0.0008287513661212151,0.004269409112812487
home,40-60,9,5-0,11,830,2,0.0024096385542168677,0.002442795299938157,0.0,0.005766196480751538
home,40-60,1,5-0,42,3515,9,0.0025604551920341396,0.002430281809644225,0.0006265930069061113,0.004233970612382339
home,40-60,9,4-2,11,830,1,0.0012048192771084338,0.0018552875695732837,0.0,0.0054916512059369205
home,40-60,6,4-3,35,2955,5,0.001692047377326565,0.0016551898818172365,0.0,0.003314442040598273
home,40-60,9,5-1,11,830,1,0.0012048192771084338,0.001095290251916758,0.0,0.0032420591456736028
home,40-60,1,6-1,42,3515,3,0.0008534850640113798,0.0008188083845978584,0.0,0.001724914800204994
home,40-60,6,6-0,35,2955,2,0.0006768189509306261,0.00062984496124031,0.0,0.0014912083784560234
home,40-60,6,5-2,35,2955,2,0.0006768189509306261,0.0006081780538302276,0.0,0.0014387811836325606
home,40-60,1,5-2,42,3515,2,0.0005689900426742532,0.0005320730039831163,0.0,0.001260452113232404
home,40-60,6,5-4,35,2955,1,0.00033840947546531303,0.0003322259136212625,0.0,0.000983388704318937
home,40-60,6,7-0,35,2955,1,0.00033840947546531303,0.0003322259136212625,0.0,0.0009833887043189363
home,40-60,6,5-3,35,2955,1,0.00033840947546531303,0.000303951367781155,0.0,0.0008996960486322184
home,40-60,6,6-1,35,2955,1,0.00033840947546531303,0.0002945508100147275,0.0,0.0008718703976435939
home,40-60,1,6-0,42,3515,1,0.0002844950213371266,0.0002506265664160401,0.0,0.0007418546365914787
home,60-80,1,1-0,78,4906,1858,0.37871993477374644,0.3978381886402216,0.3753199979926549,0.42035637928778824
home,60-80,9,2-1,5,277,94,0.33935018050541516,0.3570534901701053,0.27448189343987645,0.43962508690033414
home,60-80,9,1-0,5,277,82,0.296028880866426,0.32209720999194685,0.17321206445317158,0.4709823555307221
home,60-80,6,2-1,34,2389,700,0.29300962745918796,0.30052569699951187,0.26696118952256237,0.33409020447646137
home,60-80,6,2-0,34,2389,684,0.2863122645458351,0.26560708201847755,0.2347225563320818,0.2964916077048733
home,60-80,1,2-1,78,4906,1141,0.23257236037505097,0.24125688581508145,0.22332447252179805,0.25918929910836486
home,60-80,1,2-0,78,4906,1135,0.23134936812066856,0.21713671079072247,0.1995087876414488,0.23476463393999614
home,60-80,6,1-0,34,2389,376,0.15738802846379238,0.16365246218298132,0.13470336488733792,0.19260155947862473
home,60-80,9,2-0,5,277,51,0.18411552346570398,0.16363011987366993,0.0758897746358136,0.2513704651115263
home,60-80,6,3-1,34,2389,305,0.12766848053578903,0.12779174738941207,0.10227386012228551,0.15330963465653863
home,60-80,9,3-1,5,277,27,0.09747292418772563,0.08670824886511161,0.03168239095507478,0.14173410677514844
home,60-80,1,3-1,78,4906,414,0.08438646555238484,0.07770333358914996,0.06645263858710715,0.08895402859119278
home,60-80,6,3-2,34,2389,109,0.04562578484721641,0.058950377911286454,0.0341061185678824,0.08379463725469051
home,60-80,6,3-0,34,2389,134,0.05609041439933026,0.048930861981055895,0.03680150603093724,0.061060217931174554
home,60-80,9,3-2,5,277,10,0.036101083032490974,0.035833116029194464,0.0058680406176027655,0.06579819144078616
home,60-80,1,3-0,78,4906,181,0.03689359967386873,0.030252227530395245,0.02189063718310153,0.03861381787768896
home,60-80,9,3-0,5,277,9,0.032490974729241874,0.024329231191976292,0.0,0.05927350453808819
home,60-80,1,3-2,78,4906,94,0.019160211985324093,0.022008830205489896,0.015643022169543993,0.0283746382414358
home,60-80,6,4-1,34,2389,35,0.014650481372959398,0.015014651913477466,0.010009090305408998,0.020020213521545933
home,60-80,6,4-2,34,2389,22,0.009208874005860193,0.010300845697777847,0.005400630460515003,0.015201060935040691
home,60-80,9,4-0,5,277,2,0.007220216606498195,0.005410312273057371,0.0,0.011945102939625096
home,60-80,9,4-2,5,277,2,0.007220216606498195,0.0049382716049382715,0.0,0.014617283950617285
home,60-80,1,4-1,78,4906,29,0.0059111292295148795,0.004886521066769983,0.0025794676905928487,0.007193574442947118
home,60-80,1,4-0,78,4906,26,0.005299633102323685,0.004058748062570296,0.002013583094357062,0.006103913030783531
home,60-80,6,4-0,34,2389,8,0.0033486814566764337,0.0028053201727977887,0.0008606381365410551,0.0047500022090545225
